0,-0.135,0.998
0.087,-0.141,0.997
0.089,-0.140,0.994
0.085,-0.139,0.995
0.086,-0.141,0.994
0.091,-0.141,0.995
0.089,-0.142,0.996
0.084,-0.137,0.998
0.085,-0.148,0.990
0.091,-0.141,0.993
0.085,-0.143,0.995
0.089,-0.139,0.986
0.088,-0.140,0.998
0.086,-0.142,1.001
0.090,-0.140,0.993
0.091,-0.144,1.009
0.092,-0.137,1.005
0.086,-0.148,0.993
0.087,-0.144,1.000
0.087,-0.140,1.005
0.092,-0.140,1.001
0.085,-0.146,0.996
0.090,-0.142,0.988
0.095,-0.146,0.995
0.089,-0.142,1.003
0.087,-0.141,0.990
0.089,-0.142,1.002
0.089,-0.139,1.004
0.082,-0.139,0.991
0.089,-0.145,0.993
0.088,-0.145,1.006
0.087,-0.140,1.001
0.090,-0.139,0.996
0.090,-0.144,0.995
0.077,-0.142,1.000
0.088,-0.146,1.000
0.086,-0.142,0.993
0.090,-0.140,1.009
0.087,-0.140,0.996
0.092,-0.141,0.998
0.085,-0.138,1.000
0.086,-0.138,0.991
0.082,-0.139,1.007
0.088,-0.144,0.999
0.087,-0.144,0.997
0.084,-0.144,0.995
0.094,-0.141,0.987
0.086,-0.139,0.998
0.086,-0.142,1.000
0.087,-0.139,0.992
0.095,-0.143,0.995
0.085,-0.143,0.991
0.085,-0.138,1.005
0.091,-0.135,0.990
0.087,-0.146,0.996
0.093,-0.139,0.996
0.092,-0.142,0.990
0.087,-0.140,0.996
0.095,-0.144,0.993
0.091,-0.140,0.992
0.084,-0.141,0.997
0.086,-0.144,0.999
0.088,-0.142,1.001
0.081,-0.138,0.994
0.098,-0.140,1.007
0.082,-0.143,0.995
0.085,-0.141,0.991
0.089,-0.142,0.997
0.086,-0.145,1.001
0.083,-0.142,1.001
0.092,-0.141,0.995
0.090,-0.144,0.990
0.091,-0.144,0.995
0.092,-0.140,0.995
0.090,-0.136,1.004
0.091,-0.146,0.996
0.086,-0.136,1.000
0.087,-0.140,1.003
0.089,-0.142,0.997
0.089,-0.135,0.991
0.091,-0.144,0.997
0.092,-0.142,0.993
0.092,-0.143,0.996
0.095,-0.138,0.998
0.085,-0.144,1.003
0.090,-0.145,1.005
0.087,-0.144,0.995
0.082,-0.145,1.001
0.086,-0.137,1.002
0.076,-0.148,1.002
0.086,-0.145,1.003
0.085,-0.143,0.994
0.092,-0.150,0.998
0.086,-0.145,1.001
0.090,-0.147,0.999
0.084,-0.144,1.003
0.083,-0.145,0.999
0.089,-0.143,0.999
0.095,-0.146,1.004
0.089,-0.142,1.001
0.091,-0.143,1.002
0.089,-0.139,0.999
0.090,-0.140,0.994
0.079,-0.139,1.000
0.084,-0.143,0.994
0.084,-0.140,0.998
0.092,-0.144,0.997
0.093,-0.141,1.002
0.091,-0.141,0.995
0.090,-0.145,0.997
0.085,-0.141,1.000
0.089,-0.140,0.992
0.089,-0.142,0.997
0.089,-0.141,0.994
0.084,-0.142,1.007
0.081,-0.135,0.990
0.083,-0.141,1.001
0.087,-0.140,0.994
0.088,-0.140,0.996
0.090,-0.141,0.992
0.088,-0.144,1.002
0.090,-0.138,1.001
0.092,-0.142,0.991
0.087,-0.138,1.001
0.091,-0.142,0.994
0.094,-0.142,0.995
0.090,-0.143,0.995
0.092,-0.143,0.993
0.086,-0.144,0.992
0.088,-0.140,1.002
0.086,-0.141,0.999
0.089,-0.140,0.992
0.086,-0.142,0.993
0.092,-0.138,0.994
0.092,-0.137,1.006
0.090,-0.139,1.007
0.084,-0.140,0.998
0.096,-0.142,0.991
0.091,-0.144,0.998
0.088,-0.145,0.995
0.088,-0.140,0.987
0.091,-0.142,0.990
0.089,-0.149,0.993
0.089,-0.140,1.003
0.087,-0.141,0.994
0.089,-0.137,1.000
0.088,-0.142,0.999
0.087,-0.138,0.990
0.084,-0.145,0.998
0.086,-0.145,1.001
0.087,-0.137,0.996
0.095,-0.136,1.003
0.089,-0.141,0.994
0.089,-0.137,0.994
0.090,-0.146,0.995
0.084,-0.143,0.999
0.085,-0.143,1.007
0.090,-0.132,1.005
0.084,-0.145,0.990
0.090,-0.148,0.992
0.089,-0.142,0.999
0.095,-0.146,0.989
0.088,-0.145,1.008
0.086,-0.140,1.000
0.086,-0.145,0.983
0.087,-0.137,1.005
0.083,-0.139,1.001
0.087,-0.145,0.989
0.094,-0.139,1.003
0.089,-0.138,0.997
0.087,-0.143,0.992
0.087,-0.140,0.995
0.087,-0.145,0.996
0.088,-0.139,0.992
0.089,-0.139,0.994
0.088,-0.141,0.992
