0.189,-1.028,-0.016
0.188,-1.032,-0.013
0.197,-1.029,-0.021
0.193,-1.032,-0.021
0.186,-1.029,-0.020
0.191,-1.031,-0.007
0.184,-1.037,-0.013
0.190,-1.021,-0.006
0.188,-1.025,-0.007
0.187,-1.026,-0.003
0.187,-1.028,0.001
0.187,-1.029,-0.006
0.187,-1.021,-0.010
0.192,-1.030,-0.016
0.190,-1.025,-0.011
0.186,-1.024,-0.016
0.190,-1.031,-0.017
0.180,-1.031,-0.018
0.190,-1.027,-0.014
0.190,-1.030,-0.013
0.189,-1.027,-0.005
0.196,-1.025,-0.013
0.182,-1.028,-0.003
0.190,-1.029,-0.016
0.188,-1.022,-0.014
0.192,-1.030,-0.007
0.189,-1.030,-0.014
0.191,-1.029,-0.021
0.193,-1.027,-0.021
0.191,-1.034,-0.019
0.197,-1.035,-0.012
0.187,-1.030,-0.019
0.190,-1.027,-0.028
0.189,-1.030,-0.007
0.191,-1.026,-0.014
0.193,-1.030,-0.007
0.195,-1.034,-0.006
0.197,-1.031,-0.005
0.188,-1.031,-0.009
0.201,-1.033,-0.008
0.191,-1.022,-0.012
0.191,-1.039,-0.030
0.193,-1.030,-0.011
0.194,-1.031,-0.011
0.191,-1.034,-0.014
0.193,-1.033,-0.023
0.196,-1.024,-0.015
0.192,-1.026,-0.020
0.192,-1.030,-0.011
0.197,-1.025,-0.010
0.192,-1.031,-0.002
0.194,-1.027,-0.012
0.191,-1.031,-0.014
0.187,-1.028,-0.019
0.191,-1.025,-0.019
0.191,-1.027,-0.002
0.190,-1.031,-0.019
0.194,-1.027,-0.011
0.194,-1.027,-0.001
0.194,-1.028,-0.010
0.185,-1.031,-0.005
0.191,-1.025,-0.003
0.190,-1.029,-0.007
0.191,-1.032,-0.009
0.188,-1.031,-0.010
0.191,-1.025,-0.017
0.189,-1.029,-0.026
0.189,-1.028,-0.005
0.183,-1.029,-0.021
0.197,-1.036,-0.021
0.183,-1.028,-0.013
0.189,-1.033,-0.013
0.189,-1.026,-0.005
0.190,-1.036,-0.004
0.193,-1.025,-0.013
0.189,-1.025,-0.013
0.188,-1.029,-0.010
0.191,-1.027,-0.021
0.192,-1.024,-0.013
0.195,-1.024,-0.015
0.194,-1.034,-0.017
0.187,-1.028,-0.010
0.189,-1.026,-0.012
0.190,-1.033,-0.014
0.190,-1.030,-0.016
0.192,-1.026,-0.004
0.190,-1.026,-0.015
0.201,-1.029,-0.015
0.194,-1.026,-0.014
0.194,-1.033,-0.011
0.184,-1.029,-0.014
0.193,-1.028,-0.008
0.194,-1.027,-0.019
0.192,-1.030,-0.024
0.198,-1.036,-0.026
0.192,-1.028,-0.012
0.191,-1.030,-0.014
0.194,-1.027,-0.010
0.190,-1.035,-0.021
0.185,-1.032,-0.021
0.191,-1.032,-0.015
0.195,-1.032,-0.014
0.190,-1.028,-0.019
0.190,-1.027,-0.021
0.195,-1.028,-0.011
0.189,-1.031,-0.007
0.189,-1.031,-0.012
0.194,-1.031,-0.012
0.195,-1.027,-0.009
0.194,-1.024,-0.008
0.186,-1.026,-0.012
0.185,-1.026,-0.016
0.188,-1.031,-0.013
0.188,-1.029,-0.018
0.190,-1.031,-0.017
0.192,-1.034,-0.019
0.191,-1.037,-0.022
0.194,-1.030,-0.005
0.190,-1.028,-0.013
0.187,-1.027,-0.012
0.191,-1.027,-0.019
0.196,-1.025,-0.008
0.193,-1.027,-0.015
0.186,-1.029,-0.011
0.187,-1.030,-0.010
0.193,-1.029,-0.011
0.183,-1.031,-0.018
0.186,-1.031,-0.018
0.182,-1.029,-0.017
0.190,-1.030,-0.015
0.191,-1.030,-0.017
0.187,-1.032,-0.023
0.193,-1.033,-0.009
0.188,-1.031,-0.014
0.187,-1.029,-0.013
0.189,-1.034,-0.016
0.192,-1.029,-0.012
0.190,-1.033,-0.003
0.184,-1.030,-0.006
0.191,-1.034,-0.013
0.192,-1.028,-0.011
0.193,-1.030,-0.007
0.190,-1.029,-0.011
0.187,-1.035,-0.017
0.190,-1.030,-0.008
