-0.129,0.188,0.771,13.260
-0.131,0.190,1.033,13.446
-0.133,0.188,1.139,13.188
-0.129,0.193,1.131,13.309
-0.128,0.193,0.867,13.213
-0.131,0.189,1.106,13.279
-0.131,0.189,1.209,13.575
-0.130,0.189,1.029,12.999
-0.130,0.191,0.638,13.189
-0.128,0.187,1.300,13.328
-0.128,0.183,1.236,13.036
-0.125,0.184,1.249,13.390
-0.126,0.184,1.109,13.570
-0.129,0.186,1.289,13.315
-0.128,0.187,1.569,13.241
-0.128,0.188,1.185,13.515
-0.129,0.195,0.960,13.211
-0.131,0.200,0.757,13.227
-0.132,0.199,1.228,13.124
-0.136,0.202,0.705,13.375
-0.135,0.205,1.021,12.973
-0.141,0.210,1.036,13.034
-0.143,0.206,1.288,13.371
-0.145,0.203,1.214,14.309
-0.146,0.205,0.795,13.225
-0.148,0.205,0.988,13.173
-0.149,0.202,1.243,13.405
-0.149,0.206,0.812,13.377
-0.149,0.207,0.913,13.330
-0.147,0.203,1.116,13.152
-0.145,0.202,1.257,13.249
-0.141,0.209,0.873,12.965
-0.137,0.206,0.898,13.240
-0.139,0.211,0.984,13.384
-0.139,0.202,1.224,13.417
-0.130,0.202,1.218,12.908
-0.123,0.195,0.872,12.945
-0.118,0.194,1.455,12.935
-0.114,0.196,1.402,13.160
-0.092,0.195,1.288,12.877
-0.077,0.186,0.846,12.562
-0.026,0.204,1.502,11.929
-0.012,0.104,0.299,16.417
-0.029,0.138,0.526,12.943
-0.034,0.170,1.353,12.359
-0.035,0.128,1.362,13.054
-0.036,0.134,0.467,13.159
-0.035,0.141,1.015,13.227
-0.039,0.144,1.388,12.958
-0.037,0.150,0.924,13.040
-0.035,0.152,0.565,13.410
-0.036,0.154,0.504,13.359
-0.031,0.147,1.150,13.164
-0.032,0.145,1.120,13.347
-0.030,0.142,0.866,13.278
-0.031,0.145,0.906,12.964
-0.030,0.149,0.990,13.276
-0.031,0.143,1.279,13.675
-0.030,0.149,0.757,12.994
-0.025,0.147,0.845,13.450
-0.025,0.143,0.821,13.122
-0.023,0.144,0.987,13.254
-0.025,0.139,0.834,13.297
-0.025,0.138,0.457,13.587
-0.022,0.140,0.693,13.293
-0.021,0.144,1.356,13.377
-0.019,0.141,1.115,13.231
-0.018,0.145,1.278,13.050
-0.018,0.150,0.917,13.804
-0.019,0.152,0.803,13.383
-0.020,0.152,1.034,13.456
-0.020,0.144,1.023,13.663
-0.022,0.148,0.992,12.910
-0.019,0.144,1.153,12.978
-0.019,0.144,1.216,13.016
-0.017,0.146,1.079,13.015
-0.016,0.147,0.748,12.985
-0.016,0.144,0.850,13.131
-0.017,0.141,0.644,13.114
-0.017,0.143,0.910,13.206
-0.021,0.141,1.162,13.330
-0.025,0.138,0.640,13.101
-0.026,0.143,0.774,13.204
-0.026,0.140,1.169,13.282
-0.025,0.138,0.944,13.192
-0.023,0.133,0.580,13.440
-0.024,0.130,0.710,13.174
-0.022,0.126,0.630,13.393
-0.015,0.131,1.296,13.278
-0.015,0.129,1.227,13.610
-0.015,0.125,0.993,13.254
-0.013,0.124,0.751,12.946
-0.011,0.122,1.074,13.053
-0.010,0.115,0.887,13.205
-0.009,0.109,0.856,13.279
-0.012,0.112,1.029,13.067
-0.010,0.115,1.026,13.321
-0.013,0.119,0.948,13.512
-0.014,0.125,0.971,13.260
-0.019,0.122,0.792,12.963
-0.015,0.120,0.806,13.455
-0.020,0.122,0.911,13.503
-0.013,0.126,1.184,13.058
-0.012,0.123,0.530,13.049
-0.013,0.127,1.460,13.507
-0.013,0.125,0.770,13.686
-0.017,0.126,0.796,13.662
-0.015,0.121,1.156,12.778
-0.014,0.124,1.214,13.418
-0.017,0.122,1.082,13.232
-0.021,0.121,1.221,13.358
-0.026,0.120,0.940,13.345
-0.031,0.122,0.861,13.464
-0.032,0.124,1.145,13.291
-0.034,0.124,0.615,12.960
-0.034,0.125,0.624,13.199
-0.030,0.128,0.889,13.071
-0.035,0.130,0.745,12.929
-0.034,0.137,1.259,13.266
-0.037,0.143,1.178,13.320
-0.039,0.144,0.894,12.944
-0.042,0.148,0.950,13.522
-0.044,0.148,0.919,13.570
-0.046,0.146,0.814,13.487
-0.048,0.145,0.754,13.039
-0.047,0.150,1.177,13.313
-0.046,0.151,1.014,13.140
-0.048,0.157,0.905,13.366
-0.044,0.154,0.823,13.371
-0.044,0.151,0.552,13.516
-0.045,0.146,0.939,13.764
-0.045,0.150,0.839,13.093
-0.047,0.146,1.341,13.373
-0.046,0.145,1.131,13.331
-0.052,0.140,0.754,12.984
-0.055,0.138,1.080,13.331
-0.058,0.137,0.601,13.511
-0.060,0.139,0.912,13.197
-0.063,0.136,1.105,12.847
-0.067,0.139,1.174,13.586
-0.065,0.144,0.977,13.056
-0.060,0.147,0.890,13.299
-0.054,0.150,0.751,13.017
-0.052,0.150,1.056,13.258
-0.055,0.151,1.142,13.015
-0.054,0.149,0.722,13.489
-0.054,0.149,1.098,13.485
-0.053,0.153,0.873,12.940
-0.055,0.158,1.036,13.168
-0.058,0.156,0.611,13.184
-0.061,0.159,1.216,13.326
-0.085,0.169,0.393,13.720
-0.058,0.010,-1.314,14.234
-0.046,0.193,3.528,8.550
0.001,0.073,3.593,13.322
-0.024,0.090,-1.009,15.192
-0.032,0.148,0.184,14.107
-0.044,0.140,2.573,11.708
-0.047,0.137,0.705,12.273
-0.040,0.136,0.511,14.358
-0.056,0.158,1.147,12.646
-0.063,0.144,0.997,13.655
-0.064,0.157,1.468,12.959
-0.063,0.146,0.370,13.065
-0.065,0.155,0.705,13.284
-0.066,0.144,0.873,12.896
-0.071,0.145,1.669,12.980
-0.070,0.142,1.390,13.297
-0.073,0.154,0.633,13.084
-0.077,0.146,0.756,13.000
-0.077,0.146,1.170,13.121
-0.077,0.145,1.150,13.606
-0.075,0.149,0.597,13.242
-0.074,0.145,0.686,13.014
-0.072,0.146,0.947,12.897
-0.076,0.147,1.258,13.020
-0.077,0.151,1.541,13.318
-0.081,0.151,1.060,13.116
-0.081,0.148,0.930,13.013
-0.077,0.150,1.126,13.123
-0.077,0.150,1.319,12.898
-0.080,0.149,0.939,12.827
-0.081,0.149,1.192,13.414
-0.080,0.154,1.336,13.491
-0.082,0.163,0.948,13.455
-0.079,0.164,0.940,13.367
-0.083,0.162,0.933,13.410
-0.081,0.158,0.862,13.114
-0.087,0.158,1.212,13.053
-0.091,0.161,1.019,13.405
-0.091,0.162,1.279,13.496
-0.092,0.166,0.955,13.286
-0.090,0.166,1.118,13.726
-0.090,0.166,1.319,13.243
-0.089,0.163,1.346,13.212
-0.093,0.154,1.149,13.154
-0.093,0.156,1.356,13.047
-0.098,0.158,0.875,13.004
-0.097,0.158,0.911,13.231
-0.095,0.158,0.966,12.818
-0.097,0.148,0.923,13.051
-0.095,0.148,1.269,13.207
-0.098,0.154,1.057,13.205
-0.096,0.158,1.251,13.114
-0.097,0.163,0.677,13.323
-0.098,0.170,1.039,13.203
-0.099,0.169,0.931,12.912
-0.103,0.170,1.138,12.996
-0.108,0.164,1.437,13.278
-0.106,0.161,1.158,13.226
-0.105,0.159,0.950,13.247
-0.109,0.152,0.680,13.612
-0.109,0.155,1.434,13.155
-0.113,0.155,1.070,12.926
-0.111,0.157,0.918,13.481
-0.114,0.168,1.061,13.162
-0.112,0.175,1.342,12.982
-0.111,0.177,1.349,13.433
-0.109,0.172,1.119,12.977
-0.105,0.170,1.017,12.712
-0.112,0.171,1.041,13.010
-0.112,0.179,1.478,13.132
-0.114,0.175,1.258,13.226
-0.113,0.166,0.569,13.680
-0.116,0.167,1.122,13.271
-0.113,0.162,1.210,13.241
-0.113,0.159,1.407,13.592
-0.113,0.162,1.186,13.248
-0.107,0.162,1.010,13.106
-0.108,0.170,0.912,13.144
