-0.02,-1.95,-0.05
-0.02,-1.98,-0.05
-0.02,-2.03,-0.05
-0.02,-1.98,-0.05
-0.02,-2.23,-0.07
-0.06,-2.14,-0.38
-0.08,-2.17,-0.70
-0.07,-2.18,-0.88
-0.07,-2.13,-0.88
-0.07,-2.14,-0.88
-0.09,-1.78,-0.86
-0.07,-1.76,-0.67
-0.05,-1.98,-0.66
-0.04,-2.02,-0.66
-0.04,-2.00,-0.66
-0.03,-2.05,-0.66
-0.02,-2.06,-0.66
-0.02,-2.04,-0.66
-0.02,-2.04,-0.66
-0.03,-2.08,-0.67
-0.00,-2.01,-0.65
0.03,-2.02,-0.39
0.05,-2.08,0.04
0.13,-2.08,0.72
0.14,-2.11,1.39
0.12,-2.12,1.61
0.13,-2.12,1.67
0.13,-2.16,1.80
0.12,-2.14,1.69
0.10,-2.12,1.57
0.09,-2.13,1.42
0.08,-2.11,1.27
0.07,-2.08,1.12
0.02,-1.98,0.78
0.00,-1.88,0.39
-0.02,-1.95,0.19
0.01,-2.11,0.34
-0.00,-2.06,0.34
-0.01,-2.06,0.34
-0.01,-2.07,0.34
-0.01,-2.08,0.34
-0.03,-2.08,0.34
-0.03,-2.08,0.34
-0.03,-2.08,0.34
-0.02,-2.09,0.34
-0.03,-2.08,0.35
-0.02,-2.13,0.34
-0.05,-2.07,0.27
-0.06,-2.03,0.10
-0.08,-2.05,-0.04
-0.08,-2.07,-0.11
-0.08,-2.10,-0.08
-0.06,-2.13,-0.02
-0.06,-2.14,0.02
-0.06,-2.11,0.05
-0.05,-2.06,0.00
-0.08,-2.04,-0.14
-0.04,-2.21,0.07
-0.06,-2.21,0.06
-0.06,-2.24,0.07
-0.02,-2.29,0.17
-0.01,-2.50,0.29
0.15,-3.19,0.63
-0.06,-4.35,1.34
-0.07,-5.22,1.34
-0.29,-6.84,1.97
-0.48,-10.09,2.60
-0.25,-13.36,2.21
0.02,-17.04,2.00
0.28,-20.43,1.93
1.47,-25.48,1.54
