0.10,0.35
0.50,0.36
0.32,0.36
0.29,0.35
0.43,0.36
0.08,0.35
0.26,0.35
0.73,0.37
0.60,0.38
0.81,0.41
0.02,0.39
0.18,0.39
0.83,0.40
0.91,0.43
0.12,0.41
0.24,0.40
0.31,0.40
0.21,0.39
0.16,0.38
0.71,0.40
0.28,0.40
0.13,0.40
0.40,0.41
0.59,0.43
0.77,0.45
-0.77,0.36
1.08,0.40
0.58,0.40
-0.19,0.37
0.39,0.37
0.89,0.38
0.42,0.39
0.20,0.38
0.33,0.38
0.53,0.38
0.31,0.38
0.66,0.39
0.21,0.38
0.52,0.39
0.25,0.39
0.35,0.39
0.37,0.39
0.33,0.39
0.67,0.40
0.63,0.41
0.70,0.43
0.27,0.42
0.27,0.42
0.32,0.40
0.36,0.40
0.61,0.41
0.20,0.40
0.13,0.38
0.50,0.39
0.54,0.40
0.30,0.39
0.17,0.38
0.23,0.37
0.20,0.36
0.44,0.36
0.64,0.38
0.49,0.38
0.51,0.39
0.48,0.39
2.39,0.50
-6.54,0.22
-1.33,0.18
5.99,0.50
-3.06,0.32
0.27,0.31
0.28,0.30
0.23,0.29
0.16,0.28
0.40,0.28
0.17,0.27
0.34,0.27
0.19,0.26
0.20,0.25
0.49,0.26
0.54,0.27
0.83,0.30
0.36,0.30
0.57,0.31
0.44,0.32
-4.64,0.06
-1.51,-0.05
4.51,0.19
3.17,0.36
-0.60,0.31
0.42,0.32
-1.58,0.23
2.10,0.34
1.48,0.38
1.33,0.41
-2.40,0.25
-0.15,0.22
1.28,0.36
3.78,0.53
2.91,0.58
12.89,1.05
17.94,1.10
2.17,0.17
6.38,-1.02
9.69,-2.66
12.24,-3.88
9.57,-4.69
-3.70,-5.09
-9.56,-4.44
-28.55,-3.40
-39.05,-1.68
-40.20,1.93
-28.33,5.58
-24.74,9.28
44.53,13.67
81.42,16.16
-89.04,6.70
91.86,6.30
70.41,4.33
-2.59,-1.57
-68.04,-10.18
-53.86,-12.15
-44.72,-14.10
-53.16,-12.90
-50.50,-9.41
65.01,-0.71
-73.99,-3.31
-82.95,-9.97
81.55,-9.36
54.26,-11.22
-40.88,-18.49
-53.77,-20.25
-50.93,-21.55
-53.40,-20.52
-60.77,-17.12
6.78,-10.57
78.19,-2.81
-77.26,-7.59
-89.83,-14.13
90.80,-11.77
8.27,-16.02
-60.40,-22.24
-134.13,-28.89
-50.67,-30.38
-62.30,-26.89
50.46,-17.63
-90.53,-20.14
-84.59,-26.50
45.62,-26.35
-31.10,-27.39
-39.40,-26.99
-43.45,-27.17
-36.87,-27.18
-13.88,-26.49
10.80,-25.47
15.95,-24.38
15.67,-22.22
3.72,-19.84
0.22,-17.62
-1.31,-16.34
8.71,-15.66
7.28,-15.76
0.28,-15.56
0.79,-15.19
2.34,-14.66
1.90,-13.62
-0.18,-13.08
2.95,-12.89
7.09,-11.89
1.22,-11.21
0.46,-10.61
-0.06,-10.02
0.02,-9.50
0.66,-8.96
0.85,-8.43
0.53,-7.95
1.38,-7.46
0.49,-7.02
0.37,-6.61
0.90,-6.17
0.75,-5.72
0.14,-5.33
0.61,-4.93
0.68,-4.53
0.68,-4.15
-0.10,-3.82
0.48,-3.49
1.00,-3.15
0.75,-2.84
0.27,-2.57
