
0.26,0.34,0.32,0.33
0.81,0.58,0.42,0.35
0.37,0.47,0.41,0.35
0.45,0.47,0.43,0.36
0.16,0.31,0.38,0.36
0.59,0.45,0.42,0.36
0.36,0.41,0.41,0.36
0.11,0.26,0.35,0.36
0.49,0.37,0.37,0.35
0.28,0.32,0.35,0.35
0.44,0.38,0.37,0.35
0.20,0.29,0.33,0.34
0.30,0.29,0.32,0.34
0.33,0.31,0.32,0.34
0.20,0.26,0.30,0.34
0.51,0.38,0.34,0.34
0.50,0.44,0.37,0.35
0.54,0.49,0.41,0.35
0.77,0.63,0.48,0.36
0.42,0.52,0.47,0.36
0.89,0.71,0.55,0.37
0.52,0.61,0.54,0.38
0.49,0.55,0.53,0.38
0.38,0.46,0.50,0.38
0.56,0.51,0.51,0.38
0.44,0.48,0.50,0.38
0.47,0.47,0.49,0.38
0.35,0.41,0.46,0.38
0.53,0.47,0.47,0.38
0.27,0.36,0.43,0.37
0.36,0.36,0.41,0.37
0.41,0.39,0.41,0.37
0.54,0.46,0.44,0.37
0.41,0.44,0.43,0.37
-0.07,0.18,0.33,0.36
0.42,0.30,0.34,0.36
0.32,0.31,0.34,0.36
0.60,0.46,0.40,0.37
0.56,0.51,0.43,0.37
0.40,0.46,0.43,0.37
0.06,0.26,0.35,0.36
0.25,0.25,0.33,0.36
0.39,0.32,0.34,0.35
0.42,0.37,0.35,0.35
0.58,0.47,0.40,0.36
0.47,0.47,0.41,0.36
0.51,0.49,0.43,0.36
0.54,0.52,0.45,0.36
0.53,0.52,0.47,0.37
0.17,0.35,0.41,0.36
0.29,0.32,0.38,0.36
0.51,0.42,0.41,0.36
0.63,0.52,0.45,0.37
0.39,0.46,0.44,0.37
0.16,0.31,0.38,0.37
0.54,0.42,0.41,0.37
0.90,0.66,0.51,0.38
0.31,0.48,0.47,0.37
0.53,0.50,0.48,0.37
0.45,0.47,0.47,0.37
0.35,0.41,0.44,0.37
0.29,0.35,0.41,0.37
0.50,0.43,0.43,0.37
0.60,0.51,0.46,0.38
-1.87,-0.68,0.00,0.34
0.58,-0.04,0.13,0.36
0.90,0.42,0.27,0.35
0.63,0.52,0.34,0.35
0.31,0.41,0.33,0.35
0.29,0.35,0.32,0.34
0.87,0.61,0.43,0.35
0.52,0.57,0.45,0.35
-0.09,0.24,0.34,0.35
4.74,2.49,1.22,0.44
-2.40,0.06,0.52,0.40
0.17,0.14,0.49,0.45
1.67,0.93,0.77,0.53
1.05,1.03,0.88,0.60
-3.08,-1.03,0.08,0.52
0.58,-0.26,0.12,0.45
2.82,1.22,0.57,0.38
1.76,1.41,0.67,0.24
-0.98,0.12,0.20,0.04
-2.29,-1.52,-0.99,-0.85
-0.99,-1.86,-1.97,-2.05
4.92,0.85,-1.68,-3.25
5.27,2.08,-1.86,-4.99
10.89,5.36,-1.11,-6.88
-7.79,-2.28,-4.14,-8.98
-4.91,-4.37,-5.53,-10.42
2.39,-1.66,-5.02,-11.47
-0.12,-0.85,-3.98,-11.17
-7.97,-2.85,-2.29,-8.05
-13.74,-6.00,-0.91,-3.67
-19.97,-9.94,0.15,1.97
-28.88,-16.63,-1.20,6.81
-29.38,-21.20,-3.95,9.62
-13.92,-16.27,-3.87,11.69
4.03,-5.58,-1.43,12.59
24.88,10.02,4.41,13.55
41.45,26.56,13.14,15.73
44.82,36.56,20.87,18.01
39.71,38.85,25.77,19.84
42.38,40.98,29.68,21.01
45.12,41.19,29.79,17.84
40.97,38.25,27.49,12.75
23.66,27.87,21.80,6.93
8.72,15.47,14.65,1.41
-19.14,-4.60,3.47,-4.42
-17.50,-12.42,-2.92,-7.37
-13.23,-13.77,-6.49,-9.34
-24.94,-19.50,-10.41,-9.92
-25.64,-21.46,-11.68,-8.07
-21.40,-19.15,-9.97,-3.86
-24.88,-19.10,-8.28,1.44
-24.54,-18.77,-6.66,6.89
-12.69,-12.71,-3.04,12.41
2.26,-3.84,0.24,14.93
7.57,2.14,2.14,15.32
6.56,3.94,2.38,14.35
13.87,8.39,3.85,13.33
21.49,14.70,7.00,13.03
24.11,19.48,10.54,13.40
22.09,21.11,13.38,14.21
22.90,22.08,15.40,14.53
23.95,22.96,17.03,14.62
26.63,24.80,18.96,14.88
20.47,22.63,19.25,14.97
17.89,20.23,18.92,14.96
18.79,19.51,18.90,15.05
16.58,17.93,18.25,14.85
16.96,17.14,17.51,14.30
13.40,14.91,16.11,13.57
11.94,12.94,14.50,12.59
13.81,12.41,12.82,10.73
13.20,11.52,10.85,8.27
4.19,7.00,8.14,6.51
9.19,7.20,6.92,4.80
14.99,9.68,6.27,2.23
8.02,7.25,4.06,-0.79
-6.69,-0.76,0.24,-2.95
-0.91,-1.15,-0.49,-3.53
-1.24,-1.20,-0.64,-3.48
-3.77,-2.43,-1.19,-3.39
-5.14,-3.90,-2.16,-3.65
-4.37,-4.16,-2.63,-3.70
-1.44,-2.81,-2.42,-3.68
1.31,-0.72,-1.62,-3.52
-3.18,-1.24,-0.80,-2.13
-7.83,-2.73,0.68,1.30
-9.95,-3.86,2.53,5.94
-9.15,-3.51,4.99,11.51
-5.32,-1.50,7.59,16.90
2.17,2.42,9.85,20.69
12.82,8.34,11.59,21.94
18.03,13.14,12.81,21.78
18.08,14.67,12.36,19.86
17.69,14.64,10.95,16.79
26.06,18.27,10.66,12.91
26.91,20.07,9.88,8.26
20.30,17.54,7.74,3.32
16.51,14.46,5.38,-1.45
7.17,8.72,2.39,-5.39
2.27,4.37,0.56,-7.44
-1.14,1.11,-0.59,-8.30
-3.40,-0.78,-0.57,-7.49
-4.91,-1.27,1.08,-4.36
-7.93,-1.62,4.05,1.41
-9.52,-2.65,6.00,6.91
-3.19,0.12,9.04,12.68
5.06,4.83,11.81,16.90
16.45,11.10,13.49,17.81
17.45,13.33,12.77,15.95
11.76,10.99,10.08,12.81
10.63,9.26,7.71,9.74
12.07,9.65,6.96,7.80
10.77,9.90,7.22,7.24
11.82,10.87,8.16,7.36
11.00,11.00,8.83,7.56
13.44,12.02,9.44,7.29
12.37,11.91,9.57,6.84
12.23,11.94,9.90,6.70
9.55,10.85,9.99,6.95
9.24,10.16,10.03,7.22
10.36,10.26,10.10,7.29
10.31,10.23,10.05,7.24
9.90,9.97,9.87,7.11
9.54,9.73,9.76,7.11
8.96,9.39,9.67,7.23
9.96,9.64,9.68,7.23
10.48,9.90,9.59,6.98
9.72,9.64,9.33,6.69
9.38,9.39,9.16,6.52
9.04,9.18,9.07,6.50
9.32,9.24,9.12,6.54
9.45,9.36,9.20,6.63
7.69,8.48,8.83,6.56
9.53,8.95,8.88,6.50
8.98,8.98,8.91,6.57
9.27,9.17,9.05,6.71
9.07,9.12,9.06,6.76
8.15,8.57,8.78,6.66
9.07,8.77,8.76,6.62
8.48,8.67,8.77,6.73
9.05,8.92,8.92,6.90
9.02,8.96,8.93,6.93
8.57,8.72,8.78,6.86
8.76,8.75,8.79,6.92
8.88,8.84,8.85,7.01
8.49,8.68,8.80,7.06
8.57,8.60,8.71,7.05
8.15,8.30,8.48,6.92
8.07,8.12,8.29,6.81
8.68,8.30,8.21,6.66
7.37,7.74,7.90,6.50
7.71,7.61,7.67,6.29
7.51,7.38,7.35,5.96
7.79,7.44,7.21,5.72
5.76,6.52,6.80,5.57
6.34,6.37,6.61,5.47
6.08,6.12,6.35,5.29
5.82,5.87,6.08,5.10
6.06,5.90,5.97,4.98
6.06,5.94,5.92,4.92
5.94,5.84,5.76,4.75
5.09,5.34,5.44,4.52
4.60,4.94,5.22,4.46
5.82,5.40,5.36,4.52
4.46,4.92,5.17,4.51
5.01,4.93,5.08,4.45
5.23,5.04,5.05,4.38
4.81,4.91,4.98,4.36
4.58,4.70,4.84,4.29
4.80,4.73,4.80,4.27
5.35,4.97,4.80,4.15
5.32,5.10,4.83,4.09
5.80,5.41,4.95,4.03
5.13,5.25,4.96,4.02
5.39,5.30,5.01,4.00
5.21,5.15,4.88,3.82
5.44,5.13,4.73,3.53
4.03,4.47,4.41,3.32
4.27,4.30,4.26,3.19
5.29,4.59,4.14,2.83
7.30,5.64,4.29,2.32
7.32,6.04,4.19,1.57
5.44,5.11,3.43,0.40
4.52,4.06,2.45,-0.99
7.44,5.02,2.28,-2.25
-0.33,1.69,0.70,-3.50
-2.51,-0.92,-0.75,-4.47
-0.84,-1.03,-1.01,-4.70
-5.49,-3.09,-1.63,-4.37
-10.24,-5.93,-2.18,-3.06
-16.57,-9.81,-2.76,-0.51
-16.15,-11.68,-3.36,1.73
-10.48,-10.10,-3.21,3.41
-6.95,-7.68,-2.61,4.85
3.49,-1.39,-0.25,6.22
7.59,3.84,2.49,7.68
6.85,5.81,4.12,8.59
12.65,9.32,5.96,8.85
14.27,11.62,7.35,8.61
12.11,11.58,7.83,8.11
13.51,12.24,8.48,7.61
14.86,13.15,9.12,6.99
17.54,14.69,9.75,5.91
12.36,12.35,8.40,3.74
9.29,9.08,5.79,0.44
8.75,6.84,3.06,-3.46
3.35,3.19,0.08,-7.06
-4.85,-2.00,-2.77,-9.30
-6.77,-5.26,-4.98,-10.96
-7.50,-6.98,-6.44,-12.07
-9.53,-9.03,-8.30,-13.55
-13.31,-11.59,-9.98,-14.37
-13.19,-11.93,-9.89,-13.45
-12.60,-10.39,-7.43,-9.75
-10.33,-7.44,-3.34,-4.04
-9.86,-5.61,0.23,1.81
0.18,0.20,4.89,7.50
2.97,4.00,8.37,12.15
4.20,5.19,9.29,14.13
5.27,5.25,8.52,14.00
10.89,7.34,7.82,12.49
11.56,8.46,6.99,10.54
10.26,8.46,6.19,8.76
9.43,8.51,6.15,7.92
11.36,9.85,7.05,7.82
14.87,12.67,9.11,8.57
16.26,15.04,11.45,9.84
18.19,17.11,13.59,10.97
19.80,18.74,15.29,11.72
23.39,21.28,17.25,12.37
20.80,21.78,19.14,13.97
18.22,21.25,20.96,16.52
20.64,22.16,22.84,18.98
27.16,25.45,24.97,20.69
27.78,26.88,25.96,21.36
26.72,26.72,25.98,21.31
24.49,25.48,25.48,21.12
24.15,24.68,25.00,20.91
24.47,24.37,24.57,20.59
23.82,23.81,23.95,20.08
22.38,22.65,22.92,19.25
21.58,21.48,21.63,18.04
20.90,20.48,20.36,16.72
18.41,18.76,18.87,15.41
17.60,17.57,17.64,14.26
15.35,15.95,16.37,13.28
14.42,14.74,15.27,12.44
13.56,13.66,14.13,11.49
12.92,12.68,12.91,10.32
12.93,12.22,11.99,9.23
12.33,11.89,11.44,8.54
11.77,11.61,11.16,8.18
10.50,10.88,10.74,7.88
10.82,10.71,10.53,7.66
12.16,11.30,10.64,7.49
11.22,11.15,10.58,7.34
10.35,10.67,10.41,7.25
10.31,10.43,10.29,7.19
9.85,10.08,10.11,7.13
10.13,10.06,10.03,7.09
9.67,9.83,9.90,7.07
8.69,9.24,9.63,7.06
8.50,8.82,9.32,6.99
8.23,8.47,9.02,6.92
6.32,7.42,8.53,6.96
7.89,7.68,8.45,7.04
9.02,8.30,8.48,6.99
7.39,7.71,8.05,6.73
7.75,7.47,7.57,6.24
7.26,6.97,6.88,5.49
6.06,6.25,6.30,4.99
5.75,5.84,5.94,4.69
5.49,5.51,5.60,4.40
5.26,5.14,5.14,3.94
5.21,4.91,4.73,3.45
4.37,4.41,4.29,3.01
4.22,4.10,3.93,2.62
3.89,3.80,3.61,2.26
4.27,3.82,3.40,1.89
3.79,3.63,3.19,1.57
3.57,3.39,2.93,1.20
2.86,2.90,2.56,0.80
2.46,2.51,2.26,0.49
1.99,2.12,2.01,0.28
1.34,1.57,1.62,-0.01
0.65,0.74,0.83,-0.73
0.46,0.25,0.20,-1.39
0.15,0.14,0.09,-1.48
0.25,0.52,0.64,-0.82
0.74,1.15,1.50,0.24
1.49,1.69,2.10,1.01
3.83,3.06,2.91,1.64
2.35,3.37,3.86,2.95
0.40,3.38,5.56,5.83
10.54,8.91,9.68,9.76
26.42,19.12,15.36,12.95
22.80,22.66,19.57,16.48
20.77,23.93,23.36,20.91
27.76,27.91,27.54,25.09
26.42,28.60,29.61,27.93
27.33,27.88,29.02,27.75
-8.55,7.46,17.97,22.69
-12.75,-5.48,7.29,16.42
-8.93,-10.16,-0.69,10.12
-13.32,-14.58,-7.75,4.10
-10.02,-13.55,-10.21,1.35
-2.55,-7.74,-8.19,1.88
7.00,0.57,-3.64,3.82
17.38,9.92,2.07,5.95
21.73,16.70,7.40,7.98
19.96,19.87,12.39,11.25
24.36,24.34,18.34,15.87
20.33,25.14,23.22,21.45
23.67,26.39,26.49,25.39
25.89,26.55,27.02,26.19
23.27,23.29,23.67,22.95
12.36,14.74,16.48,16.70
-5.04,2.02,7.64,10.71
-13.36,-8.34,-0.83,5.00
-10.64,-11.13,-5.40,1.49
-13.33,-12.42,-7.29,0.82
-14.08,-11.89,-6.47,3.19
-9.78,-8.73,-3.78,7.04
-6.79,-5.13,-0.16,11.93
3.40,1.48,4.30,16.35
19.22,11.89,9.74,19.42
21.38,17.24,13.03,20.64
20.61,19.00,14.67,20.79
23.84,21.23,16.20,20.48
28.23,23.74,17.01,18.68
33.29,26.11,16.43,14.27
24.74,22.47,13.36,8.68
13.81,15.18,8.72,2.98
1.07,5.84,3.52,-1.55
-8.51,-2.66,-1.00,-4.27
-9.46,-6.25,-3.00,-4.75
-11.10,-7.85,-3.29,-3.26
-10.65,-7.13,-1.37,0.75
-11.12,-6.20,1.35,6.24
-7.06,-3.59,4.54,11.94
5.48,3.87,9.40,17.53
15.97,12.79,15.30,23.12
26.57,21.21,20.01,26.20
21.94,22.49,21.86,27.90
25.92,24.45,23.06,28.34
26.24,25.11,23.33,27.84
25.76,24.93,23.00,26.80
27.08,25.49,22.99,25.80
25.38,25.11,22.94,25.15
25.25,25.20,23.43,25.18
27.01,26.38,24.58,25.75
30.68,28.74,26.13,26.26
28.97,28.87,26.73,26.35
27.52,28.07,26.69,26.13
27.92,27.86,26.72,25.89
26.82,27.27,26.63,25.78
26.82,27.00,26.60,25.72
27.44,27.11,26.59,25.53
26.57,26.60,26.20,25.08
24.20,25.04,25.23,24.36
24.45,24.32,24.39,23.53
22.58,22.92,23.19,22.48
21.94,21.91,22.11,21.45
21.31,21.11,21.14,20.45
20.21,20.12,20.09,19.40
19.85,19.49,19.26,18.44
18.76,18.55,18.24,17.32
19.01,18.23,17.52,16.28
17.42,17.37,16.77,15.41
17.01,16.76,16.13,14.60
16.80,16.14,15.24,13.40
15.08,14.69,13.73,11.61
13.92,13.23,12.05,9.56
11.10,11.29,10.45,7.86
8.98,9.59,9.29,6.82
7.50,8.22,8.41,6.20
7.59,7.70,7.92,5.83
7.48,7.45,7.60,5.57
6.77,7.04,7.33,5.47
5.77,6.46,7.11,5.58
6.11,6.41,7.11,5.84
6.77,6.65,7.14,5.99
6.49,6.58,7.02,6.01
6.70,6.65,6.98,6.04
6.64,6.69,6.98,6.14
7.02,6.95,7.14,6.35
7.34,7.22,7.30,6.52
7.25,7.27,7.34,6.59
7.93,7.58,7.43,6.58
7.65,7.62,7.48,6.61
8.52,8.10,7.73,6.70
7.62,7.95,7.85,6.89
7.36,7.71,7.84,7.01
7.83,7.66,7.66,6.81
6.78,7.03,7.19,6.44
6.37,6.52,6.73,6.08
6.69,6.34,6.30,5.58
6.07,5.92,5.81,5.04
5.73,5.65,5.50,4.70
4.31,4.96,5.23,4.65
4.69,4.87,5.20,4.74
5.72,5.27,5.26,4.71
6.13,5.61,5.29,4.56
5.93,5.71,5.33,4.48
5.47,5.63,5.41,4.56
4.48,5.07,5.25,4.59
4.88,4.99,5.20,4.62
5.72,5.37,5.32,4.67
4.62,4.97,5.15,4.63
2.11,3.52,4.50,4.53
1.67,2.53,3.84,4.36
3.65,2.75,3.25,3.67
6.49,3.99,2.90,2.49
4.53,3.65,2.24,1.33
2.82,2.76,1.60,0.43
6.41,4.11,1.80,-0.38
7.41,5.51,2.53,-0.71
10.57,8.19,4.37,-0.20
13.74,11.51,7.13,1.16
12.99,13.22,9.85,3.30
9.86,13.26,12.61,6.81
7.59,12.87,15.51,11.61
4.41,11.49,17.85,17.05
2.62,9.76,19.13,22.06
8.02,11.12,20.48,26.16
8.83,11.35,20.34,28.50
7.56,9.67,18.13,28.50
11.30,9.41,15.05,26.05
15.36,10.36,11.86,21.86
13.20,9.45,8.40,17.12
10.49,7.75,5.27,12.64
12.21,7.81,3.19,8.38
12.94,8.68,2.43,5.16
12.29,8.90,1.86,2.18
13.19,9.38,1.46,-0.87
11.03,8.91,1.30,-3.16
9.81,8.07,0.94,-5.43
9.74,7.75,0.86,-7.39
7.98,7.07,1.00,-8.65
3.52,5.21,1.38,-8.56
4.44,5.75,3.46,-6.49
1.76,5.91,6.58,-2.09
-2.14,4.93,9.71,3.87
1.76,6.39,12.99,9.80
12.01,11.65,16.72,14.65
14.17,15.30,20.04,19.33
15.15,17.54,22.77,23.80
14.50,18.52,25.11,28.51
14.72,18.77,26.48,32.45
21.26,21.47,27.76,35.07
