0.033,-0.001,1.018
0.035,0.002,1.028
0.030,0.005,1.029
0.031,-0.003,1.018
0.029,0.000,1.023
0.029,0.001,1.027
0.029,-0.005,1.014
0.022,-0.001,1.027
0.030,0.001,1.015
0.029,-0.005,1.025
0.031,-0.005,1.023
0.032,0.002,1.013
0.029,0.004,1.023
0.028,0.002,1.026
0.026,-0.004,1.023
0.026,-0.008,1.019
0.027,-0.002,1.023
0.028,-0.004,1.026
0.028,-0.006,1.021
0.035,-0.004,1.029
0.031,-0.002,1.026
0.031,-0.003,1.030
0.026,-0.005,1.022
0.028,0.003,1.018
0.031,-0.003,1.014
0.028,-0.002,1.022
0.030,-0.004,1.025
0.030,0.004,1.029
0.036,0.002,1.019
0.028,-0.001,1.028
0.027,-0.000,1.024
0.030,-0.003,1.018
0.029,0.001,1.023
0.029,-0.002,1.027
0.031,-0.004,1.024
0.029,0.003,1.028
0.032,-0.000,1.026
0.032,0.001,1.024
0.034,-0.003,1.025
0.032,-0.001,1.020
0.027,0.000,1.017
0.028,-0.000,1.026
0.030,-0.000,1.025
0.029,0.001,1.033
0.025,0.000,1.029
0.028,-0.001,1.030
0.025,-0.003,1.022
0.031,-0.002,1.030
0.030,0.001,1.025
0.024,0.000,1.018
0.029,0.005,1.025
0.020,-0.003,1.022
0.028,-0.002,1.027
0.024,-0.003,1.029
0.025,-0.002,1.025
0.027,-0.004,1.020
0.027,-0.003,1.019
0.033,-0.001,1.022
0.029,0.006,1.025
0.036,-0.001,1.026
0.025,-0.001,1.024
0.026,0.005,1.021
0.031,0.001,1.019
0.019,0.005,1.019
0.034,0.002,1.013
0.031,-0.004,1.017
0.033,-0.004,1.013
0.029,-0.007,1.013
0.032,-0.004,1.017
0.040,-0.003,1.022
0.033,0.000,1.035
0.028,-0.005,1.020
0.024,0.005,1.022
0.028,0.004,1.017
0.017,0.001,1.018
0.024,-0.004,1.022
0.029,0.000,1.036
0.032,0.000,1.028
0.031,-0.005,1.025
0.032,-0.006,1.019
0.027,-0.001,1.014
0.028,-0.002,1.025
0.030,-0.005,1.024
0.027,0.002,1.024
0.029,-0.001,1.028
0.022,-0.004,1.034
0.022,-0.001,1.021
0.027,0.003,1.029
0.027,0.001,1.024
0.029,0.001,1.017
0.030,-0.002,1.026
0.031,-0.002,1.016
0.033,0.001,1.025
0.028,-0.001,1.017
0.029,-0.004,1.028
0.023,-0.001,1.024
0.027,0.001,1.023
0.032,-0.006,1.024
0.029,0.001,1.023
0.028,0.000,1.036
0.027,-0.002,1.020
0.027,-0.003,1.031
0.030,-0.001,1.018
0.021,-0.004,1.018
0.029,-0.010,1.026
0.035,-0.002,1.022
0.027,-0.003,1.027
0.032,-0.000,1.028
0.026,-0.002,1.020
0.034,0.007,1.021
0.024,0.006,1.028
