Z huong len
0.07,-0.01,0.96
0.07,-0.00,0.96
0.07,-0.01,0.96
0.07,-0.01,0.96
0.08,-0.00,0.95
0.08,-0.00,0.96
0.08,-0.00,0.95
0.08,-0.01,0.96
0.08,-0.01,0.96
0.07,-0.01,0.96
0.08,-0.02,0.97
0.07,0.01,0.95
0.07,-0.01,0.97
0.07,-0.01,0.95
0.07,-0.01,0.97

Z huong Xuong
0.02,-0.03,-1.09
0.02,-0.03,-1.10
0.01,-0.03,-1.09
0.02,-0.03,-1.09
0.02,-0.02,-1.07
0.02,-0.02,-1.09
0.02,-0.02,-1.09
0.02,-0.02,-1.09
0.02,-0.02,-1.08
0.02,-0.03,-1.09
0.03,-0.02,-1.09
0.02,-0.03,-1.09
0.02,-0.03,-1.09
0.02,-0.03,-1.10

X huong len
1.04,0.00,-0.09
1.04,0.01,-0.10
1.04,0.00,-0.09
1.04,0.00,-0.09
1.04,-0.00,-0.10
1.03,-0.00,-0.08
1.04,0.01,-0.09
1.05,0.00,-0.09
1.04,-0.00,-0.09
1.04,0.00,-0.08
1.03,-0.00,-0.08
1.04,0.01,-0.09

X huong Xuong
-0.97,-0.03,0.07
-0.97,-0.03,0.08
-0.96,-0.03,0.07
-0.97,-0.03,0.07
-0.97,-0.03,0.07
-0.97,-0.03,0.08
-0.96,-0.03,0.08
-0.96,-0.03,0.07
-0.97,-0.03,0.08
-0.97,-0.03,0.08
-0.97,-0.03,0.07
-0.97,-0.02,0.08
-0.96,-0.03,0.07
-0.96,-0.03,0.07

Y huong len
0.02,0.99,-0.16
0.01,0.98,-0.17
0.01,0.98,-0.16
0.01,0.98,-0.15
0.01,0.98,-0.15
0.01,0.99,-0.14
0.01,0.99,-0.15
0.01,0.99,-0.15
0.01,0.98,-0.15
0.01,0.99,-0.15
0.01,0.99,-0.16
0.02,0.99,-0.15
0.01,0.98,-0.15
0.01,0.98,-0.15
0.01,0.98,-0.14
0.01,0.98,-0.16
0.02,0.98,-0.14

Y huong Xuong
0.06,-1.00,0.01
0.05,-1.01,0.02
0.05,-1.00,0.00
0.05,-1.01,-0.00
0.05,-1.00,-0.00
0.04,-1.01,-0.00
0.05,-1.01,-0.00
0.05,-1.00,-0.00
0.05,-1.00,0.00
0.05,-1.00,0.00
