0022,0.9609,-3.6260,-0.9313,-1.5115
0.1187,0.0037,0.9583,-3.6641,-1.0992,-1.5344
0.1194,0.0071,0.9409,-3.8931,-1.0611,-1.6031
0.1157,-0.0002,0.9607,-3.7481,-1.0916,-1.5267
0.1162,0.0054,0.9641,-3.7176,-1.3588,-1.5038
0.1165,0.0022,0.9551,-3.7634,-0.9771,-1.6718
0.1196,0.0029,0.9656,-3.7405,-1.1450,-1.5649
0.1187,-0.0005,0.9561,-3.7099,-0.9618,-1.5115
0.1104,0.0054,0.9636,-3.8855,-1.5038,-1.5649
0.1199,0.0027,0.9492,-3.7328,-0.9466,-1.4275
0.1143,0.0107,0.9583,-3.7252,-1.2519,-1.7252
0.1177,0.0078,0.9480,-3.9542,-1.4046,-1.6031
0.1184,-0.0007,0.9675,-3.8397,-1.1603,-1.5267
0.1257,0.0051,0.9487,-3.6641,-1.3817,-1.6031
0.1157,0.0005,0.9592,-4.0687,-1.4656,-1.4351
0.1196,0.0095,0.9475,-3.7634,-1.2061,-1.6031
0.1204,0.0010,0.9575,-3.7176,-0.8855,-1.4656
0.1216,0.0029,0.9536,-3.7481,-1.0916,-1.6031
0.1125,-0.0020,0.9553,-3.6947,-1.5115,-1.6412
0.1157,0.0017,0.9507,-3.7328,-1.0000,-1.4809
0.1257,0.0000,0.9583,-3.6870,-1.3664,-1.5191
0.1179,0.0103,0.9687,-3.6183,-1.1985,-1.4046
0.1243,0.0066,0.9651,-3.8015,-1.2061,-1.4504
0.1199,0.0063,0.9646,-3.7481,-1.1145,-1.4427
0.1206,0.0066,0.9519,-3.7939,-1.0687,-1.4962
0.1245,0.0042,0.9592,-3.8397,-1.1756,-1.6336
0.1191,0.0010,0.9431,-3.8779,-1.2061,-1.8092
0.1116,0.0054,0.9553,-3.6260,-0.8550,-1.5115
0.1201,0.0063,0.9614,-3.8092,-1.1374,-1.5496
0.1150,0.0007,0.9631,-3.8473,-1.1756,-1.7328
0.1157,0.0044,0.9614,-3.8244,-1.0382,-1.6565
0.1255,-0.0005,0.9460,-3.8702,-1.2443,-1.6183
0.1145,0.0044,0.9529,-3.7634,-1.1298,-1.4962
0.1196,0.0056,0.9592,-3.8092,-1.0229,-1.4962
0.1155,0.0076,0.9558,-3.8015,-1.0000,-1.5878
0.1172,0.0068,0.9524,-3.5267,-1.2137,-1.5878
0.1184,0.0071,0.9490,-3.6641,-1.2748,-1.6565
0.1172,0.0051,0.9585,-3.6718,-1.2901,-1.5267
0.1257,0.0073,0.9546,-3.5191,-1.2672,-1.4962
0.1143,0.0049,0.9573,-3.7863,-1.1145,-1.6412
0.1208,0.0046,0.9485,-3.9924,-1.2214,-1.5649
0.1174,0.0027,0.9587,-3.7863,-1.2672,-1.4427
0.1221,-0.0034,0.9573,-3.6489,-1.0076,-1.5802
0.1218,0.0037,0.9604,-3.7634,-1.1603,-1.5802
0.1135,0.0083,0.9551,-3.8779,-1.4504,-1.2977
0.1155,0.0020,0.9460,-3.6489,-1.3664,-1.7176
0.1152,0.0046,0.9509,-3.9008,-1.2061,-1.5725
0.1140,0.0068,0.9519,-3.5038,-1.2824,-1.4885
0.1174,0.0066,0.9551,-3.8015,-1.2977,-1.3817
0.1165,0.0076,0.9561,-3.8015,-1.0382,-1.5115
0.1172,0.0015,0.9587,-3.8321,-0.8779,-1.4427
0.1157,0.0039,0.9553,-3.6565,-1.2672,-1.7099
0.1160,0.0088,0.9619,-3.5725,-1.5038,-1.5496
