4,-201
1332,-52,15620,-480,-135,-234
1372,-152,15588,-489,-139-40,15720,-455,-118,-215
1504,-172,15576,-471,-154,-197
1408,-64,15692,-454,-145,-231
1324,-12,15708,-475,-125,-200
1316,-212,15604,-473,-120,-219
1368,-152,15584,-476,-165,-221
1456,-88,15544,-478,-147,-227
1432,-128,15752,-474,-98,-183
1360,-164,15644,-458,-124,-212
1180,-72,15704,-486,-129,-209
1380,-116,15604,-473,-142,-208
1260,-172,15640,-473,-147,-211
1288,-144,15596,-483,-141,-204
1288,-52,15872,-517,-122,-194
1460,-92,15708,-451,-134,-218
1356,-120,15668,-493,-166,-209
1236,-84,15640,-471,-140,-196
1348,-108,15708,-468,-150,-208
1324,-140,15776,-487,-95,-215
1428,-152,15664,-454,-119,-207
1304,-128,15648,-493,-151,-204
1340,-144,15620,-477,-134,-200
1200,-108,15564,-483,-144,-214
1404,-56,15708,-479,-144,-227
1392,-132,15668,-487,-143,-210
1204,-204,15584,-491,-123,-209
1332,-148,15520,-455,-162,-192
1332,-128,15660,-483,-147,-206
1288,-144,15636,-462,-127,-209
1508,-112,15660,-449,-89,-202
1296,-92,15616,-497,-146,-213
1296,-16,15744,-492,-132,-217
1204,-76,15584,-467,-134,-198
1312,-92,15740,-463,-122,-211
1376,-156,15588,-502,-114,-196
1436,-128,15680,-487,-142,-212
1296,-184,15784,-490,-182,-212
1228,-192,15648,-497,-124,-211
1420,-64,15580,-479,-149,-219
1276,-128,15624,-488,-163,-186
1416,-64,15676,-496,-123,-210
1284,-244,15640,-471,-117,-198
1348,-132,15556,-479,-142,-179
1352,-140,15852,-471,-187,-200
1264,-164,15816,-488,-139,-191
1276,-108,15748,-482,-139,-221
1364,-180,15568,-472,-131,-202
1324,-292,15644,-486,-166,-196
1432,12,15608,-474,-122,-212
1324,-136,15584,-508,-147,-208
1260,-92,15748,-462,-112,-215
1364,-76,15636,-450,-146,-219
1396,-128,15676,-500,-149,-202
1380,-88,15604,-470,-112,-202
1432,-40,15748,-442,-123,-223
1412,-112,15596,-505,-137,-199
