0.203,-0.073,-0.010,0.183
0.193,-0.071,-0.006,0.147
0.185,-0.065,-0.008,0.117
0.176,-0.065,-0.007,0.092
0.165,-0.062,-0.009,0.069
0.168,-0.061,-0.002,0.061
0.159,-0.054,-0.003,0.043
0.155,-0.050,-0.009,0.032
0.150,-0.055,-0.003,0.024
0.143,-0.051,-0.002,0.014
0.136,-0.051,-0.008,0.007
0.128,-0.041,-0.000,0.006
0.125,-0.041,0.005,0.010
0.117,-0.041,0.002,0.012
0.122,-0.043,-0.008,0.007
0.112,-0.038,-0.007,0.014
0.102,-0.041,0.010,0.022
0.104,-0.034,-0.003,0.017
0.102,-0.039,-0.003,0.015
0.090,-0.032,0.002,0.024
0.092,-0.031,-0.002,0.019
0.088,-0.031,-0.007,0.020
0.083,-0.027,0.001,0.021
0.081,-0.031,0.002,0.019
0.074,-0.032,-0.000,0.022
0.076,-0.027,0.006,0.018
0.069,-0.027,-0.005,0.021
0.065,-0.025,0.012,0.024
0.062,-0.020,-0.004,0.023
0.067,-0.025,0.004,0.014
0.059,-0.018,-0.008,0.021
0.062,-0.018,0.014,0.019
0.055,-0.020,-0.002,0.017
0.056,-0.022,0.006,0.014
0.048,-0.021,-0.001,0.019
0.049,-0.016,0.010,0.018
0.048,-0.018,0.013,0.016
0.041,-0.021,0.013,0.018
0.044,-0.015,0.015,0.015
0.040,-0.018,-0.004,0.017
0.043,-0.011,0.014,0.014
0.038,-0.011,0.021,0.019
0.044,-0.015,0.007,0.006
0.035,-0.015,-0.003,0.015
0.032,-0.010,0.014,0.015
0.025,-0.013,0.010,0.017
0.033,-0.016,0.014,0.009
0.028,-0.013,0.014,0.011
0.029,-0.015,0.014,0.009
0.028,-0.006,0.006,0.012
0.030,-0.010,0.006,0.007
0.022,-0.005,0.015,0.014
0.024,-0.013,0.018,0.010
0.030,-0.007,0.016,0.006
0.023,-0.002,0.011,0.011
0.020,-0.007,0.002,0.013
0.025,-0.008,0.016,0.006
0.014,-0.004,0.019,0.014
0.019,-0.014,0.007,0.008
0.018,-0.005,0.022,0.011
0.018,-0.007,0.014,0.005
0.015,-0.004,0.006,0.010
0.023,-0.012,0.009,0.004
0.020,-0.009,0.006,0.005
0.020,-0.005,0.011,0.004
0.016,-0.003,0.009,0.006
0.016,-0.006,0.023,0.012
0.018,-0.002,0.024,0.011
0.016,-0.008,0.010,0.005
0.013,-0.006,0.013,0.005
0.010,-0.005,0.025,0.012
0.016,-0.008,0.011,0.004
0.014,-0.006,0.016,0.003
0.014,-0.003,0.012,0.004
0.019,-0.004,0.015,0.003
0.009,-0.005,0.006,0.010
0.010,-0.003,0.016,0.006
0.011,-0.006,0.011,0.004
0.009,-0.005,0.011,0.004
0.005,-0.005,0.005,0.009
0.014,-0.011,0.017,0.007
0.012,-0.005,0.023,0.009
0.013,-0.001,0.018,0.006
0.013,-0.007,0.018,0.003
0.007,-0.009,0.008,0.008
-0.001,-0.006,0.020,0.012
0.008,-0.003,0.011,0.004
0.020,-0.010,0.009,0.011
0.021,-0.001,0.018,0.010
0.009,-0.005,0.010,0.004
-0.000,-0.005,0.019,0.012
0.001,0.011,0.019,0.016
0.009,-0.005,0.020,0.005
0.016,-0.003,0.014,0.006
0.017,-0.004,0.023,0.009
0.006,-0.005,0.016,0.005
0.004,0.003,0.012,0.009
0.004,-0.003,0.007,0.009
0.008,-0.003,0.011,0.003
0.011,-0.007,0.019,0.006
0.012,-0.006,0.013,0.004
-0.000,-0.003,0.015,0.008
0.009,-0.000,0.013,0.003
-0.003,-0.002,0.017,0.009
0.008,-0.010,0.015,0.006
0.007,-0.005,0.014,0.001
0.008,-0.004,0.021,0.005
0.001,0.001,0.007,0.010
0.003,0.000,0.011,0.005
0.010,-0.005,0.015,0.005
0.009,0.002,0.018,0.006
0.005,-0.005,0.015,0.003
0.004,0.002,0.019,0.006
