0.209,-0.037,-0.000,0.180
0.199,-0.038,-0.011,0.146
0.193,-0.041,0.001,0.119
0.177,-0.026,-0.014,0.086
0.169,-0.028,-0.014,0.067
0.176,-0.019,0.002,0.062
0.141,-0.016,-0.012,0.024
0.146,-0.017,-0.003,0.024
0.137,-0.013,0.004,0.015
0.140,-0.019,-0.004,0.013
0.132,-0.007,-0.010,0.012
0.138,-0.006,-0.005,0.012
0.116,-0.008,-0.002,0.013
0.092,-0.003,-0.001,0.032
0.106,0.003,0.002,0.019
0.095,0.004,-0.002,0.024
0.105,-0.004,-0.001,0.010
0.105,0.011,0.000,0.018
0.092,0.007,-0.009,0.021
0.083,0.012,0.007,0.027
0.069,0.013,-0.016,0.035
0.072,0.027,0.015,0.036
0.079,0.015,-0.030,0.029
0.052,0.021,-0.001,0.037
0.079,0.011,0.010,0.015
0.059,0.023,0.012,0.028
0.056,0.015,0.003,0.023
0.057,0.023,0.009,0.022
0.053,0.026,0.003,0.022
0.048,0.028,0.015,0.025
0.040,0.022,0.015,0.026
0.049,0.026,0.004,0.015
0.031,0.020,0.004,0.026
0.042,0.024,0.010,0.014
0.040,0.024,0.013,0.015
0.036,0.025,0.008,0.015
0.039,0.037,0.012,0.017
0.032,0.030,0.011,0.015
0.029,0.031,0.010,0.016
0.144,0.015,-0.116,0.136
-0.133,-0.003,0.134,0.205
-0.078,-0.024,0.124,0.137
0.051,0.038,-0.045,0.073
0.017,0.035,0.024,0.016
-0.021,0.036,0.041,0.041
0.026,0.031,0.006,0.018
0.053,0.029,-0.016,0.044
0.024,0.072,0.009,0.041
0.036,-0.003,0.040,0.039
0.006,0.027,0.019,0.015
0.023,-0.017,0.036,0.040
0.012,-0.000,0.010,0.021
0.364,-0.400,0.368,0.547
0.016,0.026,0.017,0.089
0.044,0.049,0.034,0.077
0.014,-0.033,0.036,0.045
0.035,0.036,-0.040,0.097
0.003,0.026,0.016,0.057
0.021,0.005,-0.034,0.065
-0.006,0.028,0.041,0.050
0.069,-0.022,-0.048,0.074
0.009,-0.013,0.028,0.028
0.018,-0.029,-0.033,0.051
0.133,0.192,-0.057,0.200
0.028,-0.480,-0.334,0.512
-0.001,0.124,0.280,0.320
0.026,0.015,-0.119,0.108
0.047,0.128,0.027,0.133
0.006,0.117,0.035,0.109
0.064,0.073,0.006,0.054
0.021,0.096,0.003,0.060
0.094,0.050,-0.086,0.088
-0.029,0.116,0.055,0.108
0.047,0.020,-0.074,0.067
0.008,0.072,-0.001,0.034
-0.031,0.070,0.109,0.117
-0.113,0.192,0.051,0.169
0.146,-0.010,-0.227,0.248
0.006,0.060,-0.074,0.045
-0.006,0.110,-0.075,0.060
-0.040,0.101,0.021,0.075
0.115,-0.048,0.019,0.143
0.009,0.134,0.014,0.074
-0.011,0.063,0.002,0.032
-0.112,0.063,0.075,0.133
-0.009,0.147,0.034,0.075
-0.060,0.132,-0.010,0.068
-0.093,0.119,-0.012,0.075
